Per, Acc, True Class, Wrong Class: ratio, ...
6.46%, 65.71%, A1. drink water, A9. standing up (from sitting position): 66.67%, A5. drop: 16.67%, A15. take off jacket: 16.67%
5.90%, 68.75%, A15. take off jacket, A14. wear jacket: 60.00%, A12. writing: 40.00%
6.83%, 78.38%, A14. wear jacket, A1. drink water: 75.00%, A3. brushing teeth: 25.00%
9.41%, 80.39%, A9. standing up (from sitting position), A2. eat meal/snack: 20.00%, A12. writing: 20.00%, A13. tear up paper: 20.00%, A14. wear jacket: 20.00%, A16. wear a shoe: 20.00%
7.38%, 85.00%, A3. brushing teeth, A4. brushing hair: 33.33%, A11. reading: 33.33%, A15. take off jacket: 33.33%
5.35%, 86.21%, A12. writing, A8. sitting down: 50.00%, A11. reading: 50.00%
5.72%, 87.10%, A16. wear a shoe, A1. drink water: 50.00%, A14. wear jacket: 50.00%
4.80%, 92.31%, A2. eat meal/snack, A1. drink water: 100.00%
5.17%, 92.86%, A7. throw, A8. sitting down: 100.00%
5.35%, 93.10%, A6. pickup, A14. wear jacket: 100.00%
5.54%, 93.33%, A8. sitting down, A7. throw: 100.00%
5.90%, 93.75%, A11. reading, A3. brushing teeth: 100.00%
6.64%, 100.00%, A4. brushing hair
4.80%, 100.00%, A5. drop
5.90%, 100.00%, A10. clapping
8.86%, 100.00%, A13. tear up paper
